Loan_ID,Customer_ID,Loan_Amount,Interest_Rate,Loan_Term (in months),Credit_Score,Employement_type,Loan_Status,Activity,date,EMI,Category
66404511,16764,151846,0.08,111,583,Salaried,Defaulted,Active,03-08-2024,1214768,Fair
53251948,12981,907639,0.05,298,677,Salaried,Rejected,Active,22-03-2025,4538195,Average
8733941,40426,41942,0.05,270,419,Self-Employed,Defaulted,Closed,01-06-2024,209710,Poor
95978017,82264,811740,0.08,60,372,Self-Employed,Rejected,Active,28-06-2024,6493920,Poor
16021647,48218,53591,0.06,121,777,Salaried,Approved,Closed,03-02-2025,321546,Good
92298122,82957,305568,0.08,31,598,Self-Employed,Approved,Closed,25-08-2024,2444544,Fair
78568028,45173,905378,0.04,170,569,Salaried,Rejected,Closed,08-10-2024,3621512,Poor
19766891,13096,883767,0.07,294,338,Salaried,Approved,Closed,20-10-2024,6186369,Poor
53250111,28104,138541,0.09,122,677,Salaried,Defaulted,Closed,01-06-2024,1246869,Average
25717435,81520,436371,0.09,134,645,Self-Employed,Approved,Active,16-02-2025,3927339,Fair
86331790,83341,884190,0.02,154,401,Self-Employed,Approved,Active,18-07-2024,1768380,Poor
52497912,72730,952232,0.07,304,387,Self-Employed,Defaulted,Active,16-12-2024,6665624,Poor
87658749,89969,823205,0.02,88,620,Self-Employed,Approved,Closed,02-09-2024,1646410,Fair
54269002,75406,474803,0.08,97,311,Salaried,Defaulted,Closed,17-06-2024,3798424,Poor
85822092,42040,967990,0.06,15,677,Salaried,Rejected,Active,09-09-2024,5807940,Average
9414149,60452,197723,0.03,159,776,Self-Employed,Defaulted,Closed,08-07-2024,593169,Good
98693311,21770,74667,0.02,245,384,Salaried,Defaulted,Active,20-06-2024,149334,Poor
8237477,72486,140407,0.06,133,720,Salaried,Defaulted,Closed,09-02-2025,842442,Average
89294449,42833,588375,0.09,25,372,Salaried,Rejected,Active,25-02-2025,5295375,Poor
29388483,56045,905644,0.03,251,477,Salaried,Approved,Closed,02-03-2025,2716932,Poor
65395689,74322,194067,0.07,89,593,Self-Employed,Approved,Active,13-06-2024,1358469,Fair
28749078,44261,710911,0.08,254,594,Self-Employed,Rejected,Active,05-09-2024,5687288,Fair
32062878,51889,245907,0.06,181,440,Self-Employed,Approved,Closed,29-05-2024,1475442,Poor
80675766,65342,733066,0.03,177,440,Self-Employed,Approved,Closed,29-10-2024,2199198,Poor
39605334,32256,565269,0.08,209,630,Self-Employed,Rejected,Closed,22-01-2025,4522152,Fair
62114217,73091,566716,0.06,113,721,Self-Employed,Approved,Active,02-07-2024,3400296,Average
4515491,57429,303641,0.08,182,501,Salaried,Defaulted,Closed,06-01-2025,2429128,Poor
67451138,50544,990659,0.04,345,300,Self-Employed,Defaulted,Closed,06-11-2024,3962636,Poor
32767534,75737,421611,0.07,282,613,Self-Employed,Approved,Closed,09-08-2024,2951277,Fair
59855593,82202,764138,0.06,56,328,Self-Employed,Rejected,Active,03-08-2024,4584828,Poor
12236253,29199,93550,0.08,229,730,Self-Employed,Rejected,Closed,03-04-2024,748400,Average
60253854,66469,592700,0.03,330,831,Self-Employed,Rejected,Closed,03-04-2024,1778100,Excellent
34713637,87208,735680,0.07,161,657,Self-Employed,Approved,Closed,25-09-2024,5149760,Fair
28909721,66237,751810,0.08,264,695,Self-Employed,Rejected,Active,30-10-2024,6014480,Average
90086326,57011,464558,0.09,227,396,Salaried,Rejected,Closed,18-08-2024,4181022,Poor
81699191,50902,265170,0.08,138,660,Self-Employed,Approved,Active,01-12-2024,2121360,Fair
19647217,65293,468440,0.02,189,721,Salaried,Rejected,Active,17-04-2024,936880,Average
10217912,32508,382858,0.05,311,721,Self-Employed,Rejected,Closed,13-08-2024,1914290,Average
75461931,54337,902458,0.02,110,493,Self-Employed,Defaulted,Closed,01-10-2024,1804916,Poor
87944046,86003,40444,0.06,23,525,Self-Employed,Rejected,Active,19-07-2024,242664,Poor
52122924,78274,642059,0.03,254,616,Self-Employed,Defaulted,Active,03-03-2025,1926177,Fair
38437728,79073,161236,0.05,72,740,Salaried,Approved,Closed,10-02-2025,806180,Good
39566239,78730,92347,0.08,316,809,Salaried,Rejected,Closed,02-06-2024,738776,Excellent
20851977,60822,117231,0.04,296,756,Self-Employed,Approved,Closed,02-09-2024,468924,Good
76845745,88445,333417,0.08,354,402,Self-Employed,Rejected,Active,22-10-2024,2667336,Poor
51742343,31924,128794,0.05,325,442,Self-Employed,Rejected,Closed,31-07-2024,643970,Poor
99329051,14159,647121,0.05,59,660,Salaried,Defaulted,Closed,17-04-2024,3235605,Fair
83325260,35719,809483,0.05,54,557,Salaried,Defaulted,Active,20-07-2024,4047415,Poor
64317394,40714,604472,0.04,126,581,Salaried,Defaulted,Active,11-03-2025,2417888,Fair
37757679,31569,924298,0.01,33,318,Self-Employed,Rejected,Closed,14-03-2025,924298,Poor
1306316,58078,625273,0.04,201,572,Salaried,Approved,Closed,11-10-2024,2501092,Poor
72167050,56749,112394,0.05,15,300,Salaried,Approved,Active,05-08-2024,561970,Poor
69424602,81264,408793,0.06,295,588,Self-Employed,Approved,Closed,07-02-2025,2452758,Fair
68785867,67481,66675,0.09,186,402,Salaried,Rejected,Closed,10-10-2024,600075,Poor
72419512,78394,451518,0.06,355,488,Salaried,Approved,Active,28-09-2024,2709108,Poor
78702502,49173,154557,0.03,167,760,Self-Employed,Rejected,Active,06-12-2024,463671,Good
23771770,31413,792359,0.03,346,316,Self-Employed,Approved,Active,09-06-2024,2377077,Poor
8285723,87792,497962,0.06,282,552,Salaried,Rejected,Closed,22-02-2025,2987772,Poor
46516907,30454,42101,0.09,339,760,Salaried,Defaulted,Active,22-11-2024,378909,Good
42319991,71745,252129,0.07,358,710,Salaried,Rejected,Closed,06-08-2024,1764903,Average
32661714,75981,436888,0.05,342,461,Self-Employed,Rejected,Active,03-09-2024,2184440,Poor
94775019,33721,323675,0.02,328,772,Salaried,Defaulted,Closed,14-11-2024,647350,Good
20060642,51012,867847,0.04,26,399,Self-Employed,Defaulted,Closed,11-08-2024,3471388,Poor
94227665,33265,708379,0.01,202,495,Self-Employed,Rejected,Active,22-06-2024,708379,Poor
88679908,22551,638819,0.04,333,734,Self-Employed,Approved,Closed,23-02-2025,2555276,Average
72702497,35053,152554,0.07,286,615,Self-Employed,Defaulted,Closed,13-05-2024,1067878,Fair
19875662,31984,23110,0.08,156,486,Self-Employed,Defaulted,Active,02-05-2024,184880,Poor
37249920,64958,925889,0.04,240,515,Salaried,Defaulted,Closed,08-11-2024,3703556,Poor
54912496,29599,876321,0.08,170,810,Salaried,Rejected,Active,28-09-2024,7010568,Excellent
69589889,13285,989973,0.09,257,453,Self-Employed,Defaulted,Active,30-01-2025,8909757,Poor
33748053,39902,324618,0.04,195,401,Self-Employed,Rejected,Closed,30-08-2024,1298472,Poor
37518757,53691,787213,0.08,89,380,Salaried,Rejected,Closed,27-01-2025,6297704,Poor
28522724,46513,316945,0.06,285,435,Salaried,Rejected,Active,02-02-2025,1901670,Poor
84642474,82740,129393,0.03,286,374,Self-Employed,Defaulted,Active,07-06-2024,388179,Poor
28383375,51815,592046,0.09,330,787,Self-Employed,Defaulted,Closed,26-11-2024,5328414,Good
89947006,21108,965353,0.03,251,435,Salaried,Rejected,Active,29-04-2024,2896059,Poor
46993972,80182,594467,0.04,127,720,Self-Employed,Rejected,Closed,21-09-2024,2377868,Average
28524329,28531,956638,0.03,342,520,Salaried,Rejected,Closed,06-11-2024,2869914,Poor
1975391,68048,388031,0.08,63,629,Salaried,Rejected,Active,01-05-2024,3104248,Fair
51816332,39037,995202,0.06,167,385,Self-Employed,Approved,Closed,06-01-2025,5971212,Poor
76061218,22780,394108,0.07,168,522,Self-Employed,Rejected,Active,03-06-2024,2758756,Poor
59315753,30112,71791,0.02,339,326,Salaried,Approved,Closed,31-05-2024,143582,Poor
6918155,26713,417640,0.05,142,768,Self-Employed,Approved,Active,17-08-2024,2088200,Good
17128750,82673,507886,0.07,232,660,Salaried,Defaulted,Active,17-06-2024,3555202,Fair
36410237,56279,563369,0.02,255,685,Salaried,Rejected,Closed,17-11-2024,1126738,Average
60213416,14192,857410,0.07,143,487,Self-Employed,Approved,Closed,30-04-2024,6001870,Poor
64077260,57524,785165,0.09,146,312,Salaried,Rejected,Closed,06-09-2024,7066485,Poor
35880325,73146,583235,0.09,129,662,Salaried,Defaulted,Active,19-04-2024,5249115,Fair
48115472,47835,596543,0.09,110,662,Salaried,Defaulted,Closed,08-05-2024,5368887,Fair
18437716,39592,843086,0.01,49,525,Salaried,Defaulted,Closed,22-10-2024,843086,Poor
81820464,26631,680745,0.01,188,585,Self-Employed,Defaulted,Active,17-08-2024,680745,Fair
86372350,60410,597830,0.02,62,563,Salaried,Approved,Closed,01-01-2025,1195660,Poor
61483108,29036,601743,0.07,82,549,Self-Employed,Rejected,Active,13-09-2024,4212201,Poor
84046231,57685,652535,0.03,356,711,Self-Employed,Rejected,Active,09-02-2025,1957605,Average
24243430,36101,303359,0.08,219,729,Self-Employed,Defaulted,Active,01-11-2024,2426872,Average
16792379,84922,470547,0.04,163,645,Self-Employed,Approved,Active,30-09-2024,1882188,Fair
65074422,15044,110211,0.07,311,405,Self-Employed,Defaulted,Closed,22-07-2024,771477,Poor
36848042,45123,541456,0.08,308,777,Salaried,Approved,Closed,06-09-2024,4331648,Good
80471302,25232,915480,0.03,242,381,Self-Employed,Approved,Closed,28-10-2024,2746440,Poor
95645374,56615,599644,0.08,58,802,Salaried,Approved,Closed,23-10-2024,4797152,Excellent
81197781,65894,317455,0.09,169,722,Salaried,Approved,Active,27-07-2024,2857095,Average
84553199,79157,971541,0.02,81,414,Self-Employed,Defaulted,Active,27-12-2024,1943082,Poor
59596730,61258,698552,0.07,221,806,Self-Employed,Approved,Closed,19-12-2024,4889864,Excellent
67144556,23870,611428,0.07,15,673,Self-Employed,Defaulted,Closed,21-09-2024,4279996,Average
67028890,61674,634195,0.04,163,351,Salaried,Rejected,Closed,20-03-2025,2536780,Poor
75946558,17793,15314,0.01,30,736,Salaried,Approved,Closed,22-04-2024,15314,Average
3650690,39927,61385,0.01,17,807,Salaried,Approved,Closed,12-10-2024,61385,Excellent
86673402,45151,550454,0.03,128,333,Salaried,Approved,Active,14-09-2024,1651362,Poor
84857359,74714,473769,0.06,223,716,Self-Employed,Rejected,Active,26-01-2025,2842614,Average
71915591,75982,892960,0.08,108,529,Salaried,Defaulted,Closed,24-07-2024,7143680,Poor
58787143,78760,485431,0.03,72,762,Salaried,Defaulted,Closed,26-03-2025,1456293,Good
95538853,37479,95016,0.04,191,665,Self-Employed,Approved,Active,14-09-2024,380064,Fair
39804271,39715,25139,0.04,206,600,Salaried,Defaulted,Closed,10-03-2025,100556,Fair
26603454,68974,642136,0.01,290,514,Salaried,Defaulted,Active,08-11-2024,642136,Poor
27633592,76305,161287,0.03,267,704,Self-Employed,Rejected,Closed,08-11-2024,483861,Average
45991102,84875,396846,0.05,213,826,Self-Employed,Defaulted,Active,13-09-2024,1984230,Excellent
7766965,52059,467826,0.08,260,558,Salaried,Rejected,Closed,23-09-2024,3742608,Poor
14259827,27874,513464,0.08,20,514,Salaried,Rejected,Closed,30-06-2024,4107712,Poor
16523857,57764,90604,0.07,346,527,Salaried,Defaulted,Active,30-09-2024,634228,Poor
56235808,16475,22125,0.07,213,505,Self-Employed,Defaulted,Active,11-03-2025,154875,Poor
68011494,15501,343664,0.02,305,675,Self-Employed,Approved,Closed,07-07-2024,687328,Average
12321305,57901,490348,0.06,18,513,Self-Employed,Rejected,Active,15-05-2024,2942088,Poor
70512306,18967,141925,0.07,91,639,Self-Employed,Approved,Closed,05-12-2024,993475,Fair
65152991,18556,991824,0.07,56,574,Salaried,Approved,Closed,26-12-2024,6942768,Poor
77333927,79910,828678,0.01,185,728,Self-Employed,Approved,Active,30-12-2024,828678,Average
25517764,42667,242210,0.05,353,360,Salaried,Approved,Active,06-11-2024,1211050,Poor
56639300,41206,844120,0.03,153,704,Self-Employed,Rejected,Closed,20-12-2024,2532360,Average
72583623,34248,489568,0.08,84,383,Self-Employed,Approved,Closed,19-04-2024,3916544,Poor
64945159,59125,130001,0.07,152,797,Self-Employed,Rejected,Active,04-06-2024,910007,Good
82603819,44867,107594,0.09,248,437,Salaried,Rejected,Active,19-12-2024,968346,Poor
47596282,22902,506031,0.04,24,462,Salaried,Approved,Active,30-07-2024,2024124,Poor
66961315,56060,572306,0.06,349,801,Self-Employed,Rejected,Closed,27-01-2025,3433836,Excellent
23432028,27482,236786,0.01,37,570,Salaried,Defaulted,Active,14-12-2024,236786,Poor
42870591,83102,429923,0.01,227,396,Salaried,Approved,Closed,05-11-2024,429923,Poor
59135394,77651,307676,0.02,102,484,Self-Employed,Rejected,Active,29-08-2024,615352,Poor
18373713,15192,220322,0.03,12,593,Self-Employed,Approved,Closed,19-08-2024,660966,Fair
35636824,64380,584738,0.07,281,805,Salaried,Approved,Closed,07-07-2024,4093166,Excellent
34834561,21042,760037,0.03,256,832,Self-Employed,Rejected,Active,25-06-2024,2280111,Excellent
88170897,18440,497703,0.06,192,674,Self-Employed,Approved,Active,07-05-2024,2986218,Average
31587991,76951,421693,0.08,55,372,Self-Employed,Rejected,Closed,28-08-2024,3373544,Poor
76473642,53261,774880,0.04,161,755,Salaried,Rejected,Closed,29-07-2024,3099520,Good
10255970,33934,619314,0.05,354,457,Self-Employed,Rejected,Closed,11-03-2025,3096570,Poor
3834786,60974,174994,0.02,127,694,Salaried,Approved,Closed,15-03-2025,349988,Average
18874582,11759,833226,0.06,72,454,Salaried,Defaulted,Active,25-08-2024,4999356,Poor
52322966,37086,712374,0.07,61,609,Self-Employed,Rejected,Active,05-11-2024,4986618,Fair
28461957,50476,132986,0.08,163,350,Salaried,Rejected,Active,06-03-2025,1063888,Poor
86515553,59077,656611,0.04,341,482,Self-Employed,Rejected,Active,06-02-2025,2626444,Poor
15956583,82708,657658,0.08,94,675,Salaried,Approved,Active,20-08-2024,5261264,Average
99825704,84105,331122,0.04,281,835,Salaried,Approved,Closed,22-05-2024,1324488,Excellent
85400890,59071,510242,0.04,309,479,Salaried,Rejected,Active,07-04-2024,2040968,Poor
16887559,44058,95312,0.06,227,388,Self-Employed,Rejected,Closed,28-12-2024,571872,Poor
40284633,34590,453561,0.09,252,393,Salaried,Approved,Active,04-09-2024,4082049,Poor
40347566,11662,930704,0.06,333,576,Salaried,Approved,Closed,28-07-2024,5584224,Poor
83735192,72524,771122,0.04,288,458,Salaried,Defaulted,Closed,20-02-2025,3084488,Poor
51636430,67758,955276,0.07,21,568,Self-Employed,Defaulted,Active,29-03-2025,6686932,Poor
67286202,28950,931982,0.06,264,668,Self-Employed,Approved,Active,03-02-2025,5591892,Fair
9902250,41756,587377,0.02,254,452,Self-Employed,Defaulted,Active,12-03-2025,1174754,Poor
93237395,17952,326087,0.01,231,674,Salaried,Rejected,Closed,25-07-2024,326087,Average
94928526,43579,389233,0.01,244,425,Salaried,Rejected,Active,10-04-2024,389233,Poor
22390177,18767,761463,0.07,283,484,Salaried,Defaulted,Closed,06-02-2025,5330241,Poor
51661518,12620,26325,0.04,47,699,Self-Employed,Defaulted,Closed,27-09-2024,105300,Average
55763544,27683,999500,0.04,82,535,Salaried,Rejected,Active,15-10-2024,3998000,Poor
23952264,46718,157949,0.03,179,328,Self-Employed,Defaulted,Closed,24-07-2024,473847,Poor
9355181,16675,577299,0.06,269,528,Salaried,Rejected,Closed,23-10-2024,3463794,Poor
73494506,66952,584807,0.05,340,581,Self-Employed,Rejected,Closed,28-09-2024,2924035,Fair
18233138,39015,223862,0.07,340,820,Self-Employed,Rejected,Active,30-06-2024,1567034,Excellent
17368170,25645,834723,0.09,288,496,Self-Employed,Defaulted,Closed,28-07-2024,7512507,Poor
41695765,54209,638099,0.05,215,465,Self-Employed,Rejected,Active,24-08-2024,3190495,Poor
83706293,37288,224158,0.03,80,361,Salaried,Approved,Closed,23-02-2025,672474,Poor
86864889,68719,123136,0.06,196,663,Self-Employed,Approved,Closed,10-03-2025,738816,Fair
89764379,11975,673868,0.06,247,638,Salaried,Rejected,Active,20-03-2025,4043208,Fair
96294157,86543,151411,0.06,139,323,Salaried,Defaulted,Closed,27-12-2024,908466,Poor
67508059,39291,846849,0.09,322,595,Salaried,Defaulted,Closed,12-05-2024,7621641,Fair
43492085,25561,68195,0.06,320,513,Self-Employed,Defaulted,Active,30-05-2024,409170,Poor
84307684,73602,775830,0.02,15,614,Self-Employed,Rejected,Active,10-03-2025,1551660,Fair
64772993,12342,960052,0.07,16,346,Self-Employed,Rejected,Active,02-01-2025,6720364,Poor
64054537,83800,410118,0.02,191,632,Self-Employed,Defaulted,Active,12-06-2024,820236,Fair
83495665,21135,592366,0.01,126,628,Salaried,Rejected,Active,18-11-2024,592366,Fair
28977900,36890,78610,0.05,295,373,Salaried,Defaulted,Active,28-02-2025,393050,Poor
85527912,71524,521951,0.01,24,464,Self-Employed,Approved,Active,26-02-2025,521951,Poor
50279259,89132,851730,0.08,145,311,Self-Employed,Defaulted,Active,26-11-2024,6813840,Poor
92451188,44743,736323,0.02,226,776,Salaried,Rejected,Closed,01-05-2024,1472646,Good
21370237,64025,205026,0.04,331,541,Self-Employed,Defaulted,Active,30-10-2024,820104,Poor
70673958,21885,463856,0.05,53,355,Salaried,Rejected,Closed,17-06-2024,2319280,Poor
89915279,44253,467925,0.09,347,809,Salaried,Approved,Active,23-12-2024,4211325,Excellent
83016301,47818,699195,0.04,284,580,Salaried,Defaulted,Active,26-02-2025,2796780,Fair
99902866,51385,16084,0.09,38,378,Salaried,Rejected,Active,03-03-2025,144756,Poor
5187844,12684,470083,0.01,252,826,Self-Employed,Rejected,Closed,08-01-2025,470083,Excellent
84813652,54972,726693,0.07,239,352,Self-Employed,Defaulted,Closed,21-11-2024,5086851,Poor
74823999,53219,953347,0.03,64,706,Self-Employed,Defaulted,Active,22-01-2025,2860041,Average
14260792,66836,113486,0.09,323,313,Self-Employed,Defaulted,Closed,13-05-2024,1021374,Poor
38061643,27047,644544,0.08,184,525,Self-Employed,Defaulted,Closed,16-06-2024,5156352,Poor
7482408,35449,513054,0.02,41,706,Self-Employed,Approved,Closed,27-09-2024,1026108,Average
61875689,85484,208361,0.09,225,545,Salaried,Rejected,Active,18-10-2024,1875249,Poor
31731894,71040,435605,0.01,103,554,Salaried,Defaulted,Active,12-11-2024,435605,Poor
52429361,86926,318231,0.04,185,603,Self-Employed,Defaulted,Active,11-11-2024,1272924,Fair
72004979,66688,902815,0.09,16,720,Self-Employed,Rejected,Closed,17-10-2024,8125335,Average
18484812,36212,263820,0.08,83,372,Salaried,Defaulted,Closed,05-06-2024,2110560,Poor
24749793,47847,662003,0.09,291,674,Salaried,Approved,Closed,18-10-2024,5958027,Average
58623850,32283,129301,0.02,26,546,Self-Employed,Rejected,Active,14-06-2024,258602,Poor
89166641,19652,757434,0.01,206,635,Salaried,Defaulted,Active,16-11-2024,757434,Fair
22154709,46643,505173,0.06,158,825,Self-Employed,Defaulted,Active,30-08-2024,3031038,Excellent
38432150,18635,112499,0.03,324,813,Self-Employed,Rejected,Active,20-04-2024,337497,Excellent
39348479,46147,81355,0.04,92,646,Self-Employed,Rejected,Active,25-09-2024,325420,Fair
68342921,75073,262238,0.07,28,446,Salaried,Approved,Active,26-07-2024,1835666,Poor
26531467,46355,615532,0.02,46,679,Self-Employed,Rejected,Active,01-09-2024,1231064,Average
36975308,37338,839313,0.02,54,311,Salaried,Approved,Active,22-08-2024,1678626,Poor
2135749,14618,617699,0.01,127,507,Salaried,Rejected,Closed,01-11-2024,617699,Poor
89741423,44948,848532,0.05,337,743,Self-Employed,Defaulted,Active,27-01-2025,4242660,Good
43321997,56921,319981,0.08,94,581,Self-Employed,Defaulted,Active,16-12-2024,2559848,Fair
93685375,17058,301145,0.07,168,443,Salaried,Defaulted,Closed,26-06-2024,2108015,Poor
67488136,37652,601161,0.01,204,306,Salaried,Rejected,Active,17-12-2024,601161,Poor
58068385,65557,41459,0.01,121,305,Self-Employed,Approved,Active,20-09-2024,41459,Poor
77456887,32732,121743,0.07,220,355,Salaried,Defaulted,Closed,04-10-2024,852201,Poor
83515901,46413,16555,0.03,166,347,Self-Employed,Approved,Active,09-06-2024,49665,Poor
4562486,49464,690809,0.03,130,518,Salaried,Rejected,Closed,17-01-2025,2072427,Poor
93071204,69426,299444,0.07,238,456,Self-Employed,Approved,Closed,08-08-2024,2096108,Poor
88882622,64283,118736,0.04,118,343,Salaried,Defaulted,Active,21-12-2024,474944,Poor
46089605,64483,840034,0.07,344,395,Self-Employed,Approved,Closed,30-06-2024,5880238,Poor
40280232,55704,479088,0.04,299,590,Salaried,Defaulted,Active,03-11-2024,1916352,Fair
64978203,32204,854114,0.05,331,466,Self-Employed,Rejected,Closed,07-06-2024,4270570,Poor
85625904,35746,926967,0.08,357,718,Self-Employed,Rejected,Active,09-06-2024,7415736,Average
76265272,37873,429782,0.06,40,569,Salaried,Defaulted,Active,24-10-2024,2578692,Poor
72002128,31215,166910,0.04,27,455,Salaried,Rejected,Active,11-03-2025,667640,Poor
78796309,10582,886369,0.07,324,646,Salaried,Rejected,Closed,09-10-2024,6204583,Fair
5356967,82468,929977,0.04,109,772,Self-Employed,Defaulted,Closed,12-12-2024,3719908,Good
28662844,45140,390692,0.07,91,620,Self-Employed,Rejected,Closed,06-02-2025,2734844,Fair
87000432,20904,320983,0.09,267,842,Salaried,Rejected,Active,16-03-2025,2888847,Excellent
37728060,29170,799342,0.07,80,528,Self-Employed,Rejected,Active,15-10-2024,5595394,Poor
95299819,63254,170803,0.05,341,650,Salaried,Approved,Active,16-06-2024,854015,Fair
75792891,57413,464831,0.07,172,771,Salaried,Approved,Closed,30-12-2024,3253817,Good
81182857,63518,779231,0.07,33,559,Self-Employed,Approved,Active,06-11-2024,5454617,Poor
81087424,29990,370021,0.06,261,801,Self-Employed,Rejected,Active,19-02-2025,2220126,Excellent
72269351,54494,71530,0.04,338,732,Salaried,Defaulted,Active,30-11-2024,286120,Average
96770126,29924,763147,0.01,356,744,Salaried,Rejected,Closed,04-03-2025,763147,Good
9252971,84608,241400,0.08,33,766,Self-Employed,Approved,Active,31-03-2025,1931200,Good
25329780,59841,763638,0.04,306,780,Salaried,Approved,Active,28-12-2024,3054552,Good
42306014,67456,161679,0.06,130,485,Self-Employed,Approved,Active,05-03-2025,970074,Poor
29402208,64333,447028,0.04,304,525,Self-Employed,Rejected,Active,11-07-2024,1788112,Poor
32394017,21860,165260,0.09,32,609,Self-Employed,Defaulted,Active,31-07-2024,1487340,Fair
72855319,45500,696044,0.04,260,698,Salaried,Rejected,Active,24-02-2025,2784176,Average
